y,x
13.00,2015
15.00,2015
14.40,2011
4.40,2013
18.80,2015
8.90,2013
2.00,2015
16.00,2009
40.00,2015
2.20,2015
24.00,2002
33.00,2013
6.70,2012
35.00,2014
9.00,2015
14.80,2013
54.00,2013
2.50,2011
27.00,2010
9.50,2013
29.00,2013
34.80,2014
13.70,2012
26.60,2015
2.80,2014
45.00,2013
47.00,2011
40.00,2014
46.00,2010
3.60,2014
7.50,2015
12.70,2012
45.50,2014
17.00,2015
